run_id,bo_run_id,frac_MPC,frac_BMA,frac_MTAC,y,x,pred_log_fog_mean,pred_log_fog_std,pred_fog_median,pred_fog_mean,ei,ucb,constraint_sum_ok,constraint_bounds_ok,min_dist_to_train,selected,selection_reason,selection_order,policy_exploration_ratio,policy_n_total,policy_n_unique,policy_n_exploit,policy_n_explore,policy_n_anchor,policy_n_replicate
bo_r1_7pt,bo_r1_7pt,0.02,0.22,0.76,0.98,0.22448979591836735,0.7623974560038196,0.0006046515334665732,2.143408793760351,2.143409185579241,0.0,0.7636067590707527,True,True,0.21540659228538012,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.24,0.74,0.98,0.24489795918367346,0.7623974545129509,0.0006046515334731232,2.1434087905648105,2.1434091823836994,0.0,0.7636067575798972,True,True,0.20591260281973994,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.26,0.72,0.98,0.2653061224489796,0.76239745262928,0.0006046515334791845,2.143408786527334,2.143409178346222,0.0,0.7636067556962384,True,True,0.19999999999999993,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.28,0.7,0.98,0.28571428571428575,0.7623974510249244,0.0006046515334824279,2.1434087830885438,2.1434091749074313,0.0,0.7636067540918893,True,True,0.19798989873223324,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.3,0.6799999999999999,0.98,0.30612244897959184,0.7623974499576099,0.0006046515334836103,2.1434087808008524,2.14340917261974,0.0,0.7636067530245771,True,True,0.19999999999999993,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.32,0.6599999999999999,0.98,0.326530612244898,0.7623974493635297,0.0006046515334839314,2.143408779527496,2.143409171346383,0.0,0.7636067524304976,True,True,0.20591260281973994,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.34,0.6399999999999999,0.98,0.34693877551020413,0.7623974490747544,0.0006046515334840006,2.1434087789085323,2.143409170727419,0.0,0.7636067521417224,True,True,0.21540659228538012,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.36,0.62,0.98,0.3673469387755102,0.7623974489487594,0.0006046515334840129,2.1434087786384732,2.1434091704573603,0.0,0.7636067520157274,True,True,0.22803508501982755,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.38,0.6,0.98,0.3877551020408163,0.7623974488989405,0.0006046515334840149,2.143408778531691,2.1434091703505778,0.0,0.7636067519659084,True,True,0.2433105012119288,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.4,0.58,0.98,0.40816326530612246,0.7623974488818966,0.0006046515334840151,2.143408778495159,2.143409170314046,0.0,0.7636067519488646,True,True,0.260768096208106,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.42,0.56,0.98,0.42857142857142855,0.7623974488792866,0.0006046515334840151,2.143408778489565,2.143409170308452,0.0,0.7636067519462546,True,True,0.27999999999999997,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.44,0.54,0.98,0.4489795918367347,0.7623974488865977,0.0006046515334840151,2.1434087785052354,2.1434091703241225,0.0,0.7636067519535656,True,True,0.30066592756745814,0,,,0.35,8,6,4,2,1,1
bo_r1_7pt,bo_r1_7pt,0.02,0.46,0.52,0.98,0.46938775510204084,0.7623974489098776,0.0006046515334840143,2.1434087785551337,2.143409170374021,0.0,0.7636067519768456,True,True,0.322490309931942,0,,,0.35,8,6,4,2,1,1
