polymer_id,abs0_vs_solvent_control,fog_vs_solvent_control,fog_vs_solvent_control_sem,profile_id,profile_label,penalty_exponent,bonus_coef,bonus_deadband,bonus_max_delta,score,rank,rank_default,rank_delta_vs_default
PMBTA-9,1.0781907191615525,0.9152485081780715,0.11787507527472517,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.9242790379580488,4,4,0.0
PMBTA-8,1.0478521685168583,0.899131967066954,0.03942990014150382,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.899131967066954,5,5,0.0
PMBTA-5,1.0421292146452457,0.8846986468394223,0.0959848994715583,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8846986468394223,6,6,0.0
PMBTA-2,0.973000659961978,0.9051146761870128,0.013307198652203367,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8452524612032236,7,7,0.0
PMBTA-6,1.1202805330916754,0.7898453473265226,0.03551704908059799,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.8092741105510531,8,9,-1.0
PMBTA-3,0.8723219826439848,1.1146295004176385,0.076805174536261,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.7921776318952776,9,8,1.0
PMBTA-1,1.1113562711163205,0.7385066702318837,0.1547491285959215,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.7543658756498691,10,10,0.0
PMPC,0.6435909811763081,1.2572410278454142,0.14994292391626227,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.4177759341367544,11,11,0.0
PMTAC,0.8253631954935136,0.6186704343799122,0.21455053881422245,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.38288831208936996,12,12,0.0
PMBTA-10,0.603875060332345,1.0071112015359112,0.292037517875559,strong_penalty,"Stronger penalty (exp=2.5, bonus=0.35)",2.5,0.35,0.05,0.3,0.2853942120376502,13,13,0.0
