plate_id,well,row,col,heat_min,polymer_id,sample_name,source_file,use_for_bo,include_in_all_polymers,all_polymers_pair,status,abs_activity,slope,intercept,r2,n,t_start,t_end,select_method,select_method_used,exclude_reason,dy,mono_frac,down_steps,pos_steps,pos_steps_eps,pos_eps,rmse,snr,start_idx_used,skip_indices,skip_count,run_id
plate2,E2,E,2,5.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,27.79,27.79,1034.9599999999991,0.9989065221285697,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2499.0,1.0,0,5,5,235.7334,30.839503887060243,81.03243194675576,0,,0,260211-3
plate2,E3,E,3,10.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,20.27666666666666,20.27666666666666,899.1399999999998,0.9991163640727986,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,1821.0,1.0,0,5,5,138.99374999999998,20.22560258682062,90.03440031925217,0,,0,260211-3
plate2,E4,E,4,15.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,13.469523809523801,13.469523809523801,751.468571428572,0.9988816090694954,6,6.0,156.0,initial_positive,initial_positive,,1614.5,1.0,0,5,5,75.056625,23.09174249441926,69.9167678831564,0,,0,260211-3
plate2,E5,E,5,20.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,5.636536796536797,5.636536796536797,566.981645021646,0.9984535595233588,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,1457.5,1.0,0,9,9,19.459125,8.192827609709843,177.8995078905903,0,,0,260211-3
plate2,E6,E,6,40.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,0.4774458874458876,0.4774458874458876,269.9491774891775,0.9985813152633235,21,6.0,606.0,initial_positive_promote_long_ext,initial_positive_promote_long_ext,,274.0,1.0,0,20,20,3.3358499999999998,3.269131250053478,83.81431611087316,0,,0,260211-3
plate2,E7,E,7,60.0,PMBTA-8,,2-plate6.csv,True,True,False,ok,0.1525108225108223,0.1525108225108223,277.8554978354979,0.9975017841911025,21,6.0,606.0,initial_positive_ext,initial_positive_ext,,26.5,1.0,0,7,5,1.11195,1.798229949806458,14.736713734991142,0,,0,260211-3
plate2,F1,F,1,0.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,28.84333333333333,28.84333333333333,927.7399999999989,0.9997451581075232,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2600.0,1.0,0,5,5,287.99505,15.445873235268976,168.32975128029756,0,,0,260211-3
plate2,F2,F,2,5.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,27.74333333333333,27.74333333333333,1213.339999999999,0.998681070238135,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2495.0,1.0,0,5,5,236.289375,33.81678577274907,73.77992742321766,0,,0,260211-3
plate2,F3,F,3,10.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,22.586666666666655,22.586666666666655,1075.5800000000002,0.9990060021940885,4,6.0,96.0,initial_positive_tangent,initial_positive_tangent,,2027.0,1.0,0,5,5,167.34847499999998,23.89665248523311,84.82359616069641,0,,0,260211-3
plate2,F4,F,4,15.0,PMBTA-9,,2-plate6.csv,True,True,False,ok,15.547619047619044,15.547619047619044,927.8095238095239,0.9988263444751174,6,6.0,156.0,initial_positive,initial_positive,,1867.5,1.0,0,5,5,85.62015,27.305735196166573,68.3922255373702,0,,0,260211-3
