run_id,polymer_id,heat_min,n,mean_abs_activity,std_abs_activity,sem_abs_activity,mean_REA_percent,std_REA_percent,sem_REA_percent,include_in_all_polymers,all_polymers_pair
260216-3,PMBTA-11,60.0,1,0.17982683982683975,,,0.6068397294494032,,,True,False
260216-3,GOx,0.0,1,20.901904761904753,,,100.0,,,True,True
260216-3,GOx,5.0,1,15.683809523809519,,,75.03531234337268,,,True,True
260216-3,GOx,10.0,1,9.870555555555557,,,47.22323476253401,,,True,True
260216-3,GOx,15.0,1,5.972222222222221,,,28.5726219225103,,,True,True
260216-3,GOx,20.0,1,3.8809523809523787,,,18.567457966920305,,,True,True
260216-3,GOx,40.0,1,0.38476190476190336,,,1.8407982867817867,,,True,True
260216-3,GOx,60.0,1,0.08043290043290043,,,0.3848113430288672,,,True,True
260216-3,GOx with DMSO,0.0,1,21.869523809523805,,,100.00000000000001,,,True,True
260216-3,GOx with DMSO,5.0,1,15.975238095238085,,,73.04794669686014,,,True,True
260216-3,GOx with DMSO,10.0,1,10.062698412698417,,,46.01242578641005,,,True,True
260216-3,GOx with DMSO,15.0,1,6.647777777777777,,,30.397450971853274,,,True,True
260216-3,GOx with DMSO,20.0,1,3.865584415584416,,,17.675667971796532,,,True,True
260216-3,GOx with DMSO,40.0,1,0.44874458874458867,,,2.051917511569996,,,True,True
260216-3,GOx with DMSO,60.0,1,0.12476190476190385,,,0.5704829508339463,,,True,True
260216-3,GOx with EtOH,0.0,1,19.713333333333324,,,100.0,,,True,True
260216-3,GOx with EtOH,5.0,1,16.413333333333327,,,83.26006087250592,,,True,True
260216-3,GOx with EtOH,10.0,1,10.390476190476186,,,52.70786028310547,,,True,True
260216-3,GOx with EtOH,15.0,1,6.087301587301591,,,30.879108491553573,,,True,True
260216-3,GOx with EtOH,20.0,1,3.714155844155844,,,18.84083113369553,,,True,True
260216-3,GOx with EtOH,40.0,1,0.38406926406926395,,,1.948271545836646,,,True,True
260216-3,GOx with EtOH,60.0,1,0.13619047619047614,,,0.690854630658486,,,True,True
