run_id,polymer_id,family,abs0,rea20,fog,native_rel,rank_abs_desc,rank_rea20_desc,rank_fog_desc,delta_abs_to_fog,delta_abs_to_rea20,spearman_abs_vs_fog_run,spearman_abs_vs_rea20_run
260209-3,PMBTA-2,pmbta,26.00666666666666,17.729386737333428,0.9204707694095404,1.108868675383741,3.0,12.0,10.0,-7.0,-9.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-3,pmbta,24.34333333333333,21.40056301359876,1.025998718614735,1.0379476975554291,8.0,9.0,7.0,1.0,-1.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-4,pmbta,20.70285714285713,32.654621117221176,1.361024526695111,0.8827255745959551,9.0,2.0,3.0,6.0,7.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-5,pmbta,25.5,21.43587131822426,0.9954622344857328,1.0872654917566802,6.0,8.0,8.0,-2.0,-2.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-6,pmbta,28.48,16.989517972664046,0.83083091693628,1.2143263217737352,1.0,13.0,13.0,-12.0,-12.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-7,pmbta,25.03333333333333,25.73209746312276,1.1106688742228974,1.0673678226264924,7.0,5.0,5.0,2.0,2.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-8,pmbta,25.51666666666666,20.961938127189608,0.9446328450618604,1.0879761227970437,5.0,11.0,9.0,-4.0,-6.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMBTA-9,pmbta,25.653333333333325,22.31214731214732,1.0512726776400212,1.0938032973280272,4.0,7.0,6.0,-2.0,-3.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMPC,homopolymer_pmpc,15.55666666666666,27.899676924746583,1.4302704969241855,0.6633030130756109,12.0,4.0,2.0,10.0,8.0,-0.6538461538461539,-0.7857142857142857
260209-3,PMTAC,homopolymer_pmtac,19.278787878787877,32.38682829192115,0.8662550809373012,0.822006305235413,11.0,3.0,12.0,-1.0,8.0,-0.6538461538461539,-0.7857142857142857
260211-1,PMBTA-1,pmbta,31.209999999999997,12.824727339306005,0.8514149181261685,0.973082519226772,7.0,13.0,11.0,-4.0,-6.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-10,pmbta,24.053333333333327,38.71951219512194,0.9718831422208448,0.7499480357514029,12.0,1.0,7.0,5.0,11.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-11,pmbta,27.463333333333328,28.313364428184205,1.4200862513785226,0.8562668883807939,10.0,3.0,2.0,8.0,7.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-2,pmbta,31.79333333333333,15.168580633038594,0.8959914759197377,0.9912700062357098,6.0,11.0,10.0,-4.0,-5.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-3,pmbta,25.76333333333333,22.281910094046204,1.1206981042077675,0.8032633548118894,11.0,5.0,4.0,7.0,6.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-4,pmbta,33.61,20.652394648229237,0.9760757901125346,1.047911037206402,3.0,6.0,6.0,-3.0,-3.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-5,pmbta,30.479999999999997,16.21814318664713,0.9867359997428914,0.9503221783413012,8.0,9.0,5.0,3.0,-1.0,-0.7197802197802198,-0.6758241758241759
260211-1,PMBTA-6,pmbta,34.463333333333324,18.0361921342674,0.9175763898234606,1.074516732488048,2.0,7.0,9.0,-7.0,-5.0,-0.7197802197802198,-0.6758241758241759
