policy_id,policy_display,run_id,top_polymer_id,top_family,top_score,top_fog,top_native_rel,theta,alpha,min_fit_r2,min_rea20
fog_adj_clip,"FoG * clip(native,0,1)",260216-3,PMBTA-10,pmbta,1.3731304505441007,1.8926232232929203,0.7255170673405511,,,,
cons_0.40,Constrained theta=0.40,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789087,0.4,,,
cons_0.40,Constrained theta=0.40,260209-2,PMBTA-10,pmbta,0.758335533250903,0.758335533250903,0.8012837391095745,0.4,,,
cons_0.40,Constrained theta=0.40,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.4,,,
cons_0.40,Constrained theta=0.40,260211-1,PMTAC,homopolymer_pmtac,1.623511957374557,1.623511957374557,0.414565376423618,0.4,,,
cons_0.40,Constrained theta=0.40,260211-2,PMBTA-10,pmbta,1.5957776384085527,1.5957776384085527,0.5744917136511195,0.4,,,
cons_0.40,Constrained theta=0.40,260216-1,PMTAC,homopolymer_pmtac,2.1969550146665897,2.1969550146665897,0.7016027655562542,0.4,,,
cons_0.40,Constrained theta=0.40,260216-2,PMTAC,homopolymer_pmtac,1.7046716132319224,1.7046716132319224,0.7581814855165875,0.4,,,
cons_0.40,Constrained theta=0.40,260216-3,PMBTA-10,pmbta,1.8926232232929203,1.8926232232929203,0.7255170673405511,0.4,,,
cons_0.50,Constrained theta=0.50,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789087,0.5,,,
cons_0.50,Constrained theta=0.50,260209-2,PMBTA-10,pmbta,0.758335533250903,0.758335533250903,0.8012837391095745,0.5,,,
cons_0.50,Constrained theta=0.50,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.5,,,
cons_0.50,Constrained theta=0.50,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.5,,,
cons_0.50,Constrained theta=0.50,260211-2,PMBTA-10,pmbta,1.5957776384085527,1.5957776384085527,0.5744917136511195,0.5,,,
cons_0.50,Constrained theta=0.50,260216-1,PMTAC,homopolymer_pmtac,2.1969550146665897,2.1969550146665897,0.7016027655562542,0.5,,,
cons_0.50,Constrained theta=0.50,260216-2,PMTAC,homopolymer_pmtac,1.7046716132319224,1.7046716132319224,0.7581814855165875,0.5,,,
cons_0.50,Constrained theta=0.50,260216-3,PMBTA-10,pmbta,1.8926232232929203,1.8926232232929203,0.7255170673405511,0.5,,,
cons_0.60,Constrained theta=0.60,260209-1,PMBTA-3,pmbta,1.179609067687257,1.179609067687257,0.7162562895789087,0.6,,,
cons_0.60,Constrained theta=0.60,260209-2,PMBTA-10,pmbta,0.758335533250903,0.758335533250903,0.8012837391095745,0.6,,,
cons_0.60,Constrained theta=0.60,260209-3,PMBTA-11,pmbta,1.4806768551599392,1.4806768551599392,0.8395192073418339,0.6,,,
cons_0.60,Constrained theta=0.60,260211-1,PMBTA-11,pmbta,1.4200862513785226,1.4200862513785226,0.8562668883807939,0.6,,,
cons_0.60,Constrained theta=0.60,260211-2,PMBTA-11,pmbta,1.071524111959006,1.071524111959006,1.0284982060481809,0.6,,,
cons_0.60,Constrained theta=0.60,260216-1,PMTAC,homopolymer_pmtac,2.1969550146665897,2.1969550146665897,0.7016027655562542,0.6,,,
cons_0.60,Constrained theta=0.60,260216-2,PMTAC,homopolymer_pmtac,1.7046716132319224,1.7046716132319224,0.7581814855165875,0.6,,,
